show_id;type;listed_in
s1;Movie;Documentaries
s2;TV Show;International TV Shows, TV Dramas, TV Mysteries
s3;TV Show;Crime TV Shows, International TV Shows, TV Action & Adventure
s4;TV Show;Docuseries, Reality TV
s5;TV Show;International TV Shows, Romantic TV Shows, TV Comedies
s6;TV Show;TV Dramas, TV Horror, TV Mysteries
s7;Movie;Children & Family Movies
s8;Movie;Dramas, Independent Movies, International Movies
s9;TV Show;British TV Shows, Reality TV
s10;Movie;Comedies, Dramas
s11;TV Show;Crime TV Shows, Docuseries, International TV Shows
s12;TV Show;Crime TV Shows, International TV Shows, TV Action & Adventure
s13;Movie;Dramas, International Movies
s14;Movie;Children & Family Movies, Comedies
s15;TV Show;British TV Shows, Crime TV Shows, Docuseries
s16;TV Show;TV Comedies, TV Dramas
s17;Movie;Documentaries, International Movies
s18;TV Show;Crime TV Shows, Spanish-Language TV Shows, TV Dramas
s19;Movie;Thrillers
s20;TV Show;International TV Shows, Spanish-Language TV Shows, TV Action & Adventure
s21;TV Show;Crime TV Shows, Docuseries, International TV Shows
s22;TV Show;International TV Shows, TV Action & Adventure, TV Dramas
s23;Movie;Comedies, International Movies
s24;Movie;Children & Family Movies
s25;Movie;Comedies, International Movies, Romantic Movies
s26;TV Show;Docuseries, International TV Shows, Reality TV
s27;Movie;Comedies, International Movies, Music & Musicals
s28;Movie;Comedies
s29;Movie;Horror Movies, Sci-Fi & Fantasy
s30;Movie;Thrillers
s31;Movie;Dramas, Independent Movies, International Movies
s32;TV Show;TV Comedies
s33;TV Show;British TV Shows, International TV Shows, TV Comedies
s34;TV Show;International TV Shows, TV Dramas, TV Thrillers
s35;TV Show;Kids' TV
s36;Movie;Dramas, International Movies, Thrillers
s37;Movie;Action & Adventure, Dramas, International Movies
s38;TV Show;Kids' TV, TV Comedies
s39;Movie;Action & Adventure, Dramas
s40;TV Show;Kids' TV
s41;TV Show;Kids' TV, TV Sci-Fi & Fantasy
s42;Movie;Action & Adventure, Classic Movies, Dramas
s43;Movie;Dramas, Horror Movies, Thrillers
s44;Movie;Action & Adventure, Horror Movies, Thrillers
s45;Movie;Action & Adventure, Horror Movies, Thrillers
s46;Movie;Documentaries
s47;Movie;Action & Adventure
s48;TV Show;International TV Shows, Romantic TV Shows, TV Comedies
s49;Movie;Dramas, Thrillers
s50;TV Show;International TV Shows, TV Dramas
s51;TV Show;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy
s52;Movie;Action & Adventure, Anime Features, International Movies
s53;Movie;Action & Adventure, Anime Features, International Movies
s54;Movie;Action & Adventure, Anime Features, International Movies
s55;Movie;Action & Adventure, Anime Features, International Movies
s56;TV Show;Reality TV
s57;Movie;Action & Adventure, Anime Features, International Movies
s58;Movie;Action & Adventure, Anime Features, International Movies
s59;Movie;Action & Adventure, Anime Features, International Movies
s60;Movie;Action & Adventure, Anime Features, International Movies
s61;Movie;Action & Adventure, Anime Features, International Movies
s62;Movie;Action & Adventure, Anime Features, International Movies
s63;Movie;Action & Adventure, Anime Features, International Movies
s64;Movie;Action & Adventure, Anime Features, International Movies
s65;Movie;Children & Family Movies
s66;TV Show;Kids' TV
s67;TV Show;Docuseries, International TV Shows
s68;TV Show;Kids' TV, TV Comedies
s69;Movie;Documentaries, International Movies, Sports Movies
s70;TV Show;International TV Shows, TV Dramas
s71;TV Show;International TV Shows, Reality TV, Romantic TV Shows
s72;Movie;Children & Family Movies
s73;TV Show;British TV Shows, Docuseries, International TV Shows
s74;Movie;Dramas, International Movies
s75;TV Show;Reality TV
s76;Movie;Children & Family Movies
s77;TV Show;Anime Series, International TV Shows
s78;Movie;Children & Family Movies, Comedies
s79;Movie;Comedies, Dramas, International Movies
s80;Movie;Comedies, Dramas, International Movies
s81;Movie;Children & Family Movies
s82;Movie;Action & Adventure
s83;TV Show;Crime TV Shows, TV Comedies, TV Dramas
s84;TV Show;Reality TV
s85;Movie;Action & Adventure, Comedies, Dramas
s86;TV Show;Anime Series, Kids' TV
s87;Movie;International Movies, Thrillers
s88;TV Show;Kids' TV, Korean TV Shows
s89;Movie;Documentaries, Sports Movies
s90;TV Show;Kids' TV
s91;Movie;Sci-Fi & Fantasy, Thrillers
s92;Movie;Documentaries, International Movies
s93;TV Show;International TV Shows, TV Dramas, TV Mysteries
s94;Movie;Dramas, International Movies, Romantic Movies
s95;Movie;Children & Family Movies, Comedies
s96;TV Show;Reality TV
s97;Movie;Documentaries, Music & Musicals
s98;TV Show;Kids' TV, TV Comedies, TV Sci-Fi & Fantasy
